an,luna,hidro_run_of_river_mwh,hidro_reservoir_mwh,productie_hidro_totala_mwh
2015,1,936858.01,633537.41,1570395.42
2015,2,1015898.62,629305.68,1645204.3
2015,3,1228365.03,702522.27,1930887.3
2015,4,1224379.08,572033.68,1796412.7600000002
2015,5,1161554.0,742266.0,1903820.0
2015,6,910761.0,492285.0,1403046.0
2015,7,690194.64,427795.94,1117990.58
2015,8,533353.0,453561.0,986914.0
2015,9,484499.0,446232.0,930731.0
2015,10,798437.55,455692.75,1254130.3
2015,11,646375.0,485455.0,1131830.0
2015,12,703710.0,518493.0,1222203.0
2016,1,699481.0,453714.0,1153195.0
2016,2,968765.0,328086.0,1296851.0
2016,3,1073576.32,438995.92,1512572.24
2016,4,1126381.04,445917.24,1572298.28
2016,5,1287199.26,487888.06,1775087.32
2016,6,1332301.17,752835.77,2085136.94
2016,7,1081640.6,709070.5,1790711.1
2016,8,851204.0,567940.0,1419144.0
2016,9,596748.0,543725.0,1140473.0
2016,10,707200.84,670317.04,1377517.88
2016,11,1051658.66,584870.46,1636529.1199999999
2016,12,713494.0,713445.0,1426939.0
2017,1,525930.0,663789.0,1189719.0
2017,2,808070.0,301699.0,1109769.0
2017,3,1163877.74,295116.64,1458994.38
2017,4,889480.58,476780.58,1366261.16
2017,5,1204455.0,369814.0,1574269.0
2017,6,891998.0,500709.0,1392707.0
2017,7,663421.0,360291.0,1023712.0
2017,8,623960.0,294298.0,918258.0
2017,9,638790.0,279623.0,918413.0
2017,10,640983.0,352359.0,993342.0
2017,11,769861.0,415238.0,1185099.0
2017,12,1054656.0,353507.0,1408163.0
2018,1,1008317.0,241998.0,1250315.0
2018,2,982439.0,279200.0,1261639.0
2018,3,1330976.0,555436.0,1886412.0
2018,4,1346753.0,613955.0,1960708.0
2018,5,985678.0,765655.0,1751333.0
2018,6,916792.0,583458.0,1500250.0
2018,7,1247297.0,862511.0,2109808.0
2018,8,816903.0,815852.0,1632755.0
2018,9,590990.0,638681.0,1229671.0
2018,10,470615.88,612794.08,1083409.96
2018,11,535282.0,465948.0,1001230.0
2018,12,621609.0,362788.0,984397.0
2019,1,720760.69,264808.89,985569.58
2019,2,915029.0,226468.0,1141497.0
2019,3,1050017.86,282005.76,1332023.62
2019,4,932853.54,478780.64,1411634.1800000002
2019,5,1515125.83,802076.43,2317202.2600000002
2019,6,1415809.72,963702.72,2379512.44
2019,7,792235.41,615774.41,1408009.82
2019,8,631935.45,387970.25,1019905.7
2019,9,485204.68,335381.78,820586.46
2019,10,473245.33,366054.33,839299.66
2019,11,656460.1,313356.1,969816.2
2019,12,749178.18,332387.18,1081565.36
2020,1,608145.8,485615.2,1093761.0
2020,2,713614.52,346584.02,1060198.54
2020,3,951744.35,318151.35,1269895.7
2020,4,633768.31,495956.21,1129724.52
2020,5,719988.57,344653.17,1064641.74
2020,6,1160234.69,569467.79,1729702.48
2020,7,1049789.45,692777.95,1742567.4
2020,8,800848.6,561089.1,1361937.7
2020,9,591655.15,448258.75,1039913.9
2020,10,907777.1,403314.9,1311092.0
2020,11,759811.76,541784.66,1301596.42
2020,12,760124.92,547598.22,1307723.1400000001
2021,1,1147688.1,506177.69,1653865.79
2021,2,1008712.8,442834.31,1451547.11
2021,3,991428.0,346243.75,1337671.75
2021,4,1202867.0,421318.75,1624185.75
2021,5,1306406.25,890259.0,2196665.25
2021,6,1296824.46,783880.76,2080705.22
2021,7,951024.5,577246.67,1528271.17
2021,8,712460.78,412282.51,1124743.29
2021,9,590906.71,388145.85,979052.5599999999
2021,10,529582.97,412439.72,942022.69
2021,11,536289.0,357106.25,893395.25
2021,12,839694.13,310246.66,1149940.79
2022,1,906334.1325,366322.065,1272656.1975
2022,2,687330.3825,278735.35,966065.7324999999
2022,3,657428.2675,465302.72,1122730.9874999998
2022,4,952295.34,360927.1625,1313222.5025
2022,5,954306.1125,637862.7525,1592168.865
2022,6,704589.355,665069.705,1369659.06
2022,7,487445.3275,595282.7675,1082728.095
2022,8,444833.0225,479766.735,924599.7575000001
2022,9,617592.86,380624.915,998217.7749999999
2022,10,659262.0175,476702.1975,1135964.2149999999
2022,11,599083.7675,385000.325,984084.0925
2022,12,913091.895,378402.8075,1291494.7025000001
2023,1,1075499.25,459675.7425,1535174.9925
2023,2,945440.75,405965.9275,1351406.6775
2023,3,1118794.2575,602914.425,1721708.6825
2023,4,1317044.0675,742081.225,2059125.2925
2023,5,1209046.545,948984.6625,2158031.2075
2023,6,1189701.705,1109600.96,2299302.665
2023,7,816771.775,679399.695,1496171.47
2023,8,763977.2075,411588.8025,1175566.01
2023,9,593504.85,326423.61,919928.46
2023,10,456197.58,471769.8775,927967.4575
2023,11,785039.3475,435089.4275,1220128.775
2023,12,904334.9675,573203.495,1477538.4625
2024,1,937594.66,589833.22,1527427.88
2024,2,911056.8,528809.67,1439866.4700000002
2024,3,974296.4425,490124.32,1464420.7625
2024,4,932360.105,526906.7275,1459266.8325
2024,5,837930.6475,503895.1525,1341825.8
2024,6,915132.09,461258.29,1376390.38
2024,7,704924.75,396353.0,1101277.75
2024,8,487593.05,354109.0275,841702.0775
2024,9,581666.3825,286299.22,867965.6024999999
2024,10,836882.3525,230765.785,1067648.1375
2024,11,501771.3775,368442.1,870213.4775
2024,12,661759.5725,231154.5725,892914.145
2025,1,672577.5,189087.5,861665.0
2025,2,510497.0,305259.25,815756.25
2025,3,736305.0,271893.5,1008198.5
2025,4,922195.5,219882.5,1142078.0
2025,5,873246.0,379153.25,1252399.25
2025,6,752762.95,393746.75,1146509.7
2025,7,500798.75,327303.0,828101.75
2025,8,550990.5,307660.5,858651.0
2025,9,413928.0,354079.0,768007.0
2025,10,560822.25,369076.5,929898.75
2025,11,677140.0,488916.0,1166056.0
2025,12,814270.5,558374.75,1372645.25
